dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
10,9947653,44,64,0.09892265498638153,0.0699925571680069,0.01716405153274536,0.5770306275649504,0.17668754500031641,0.22727272727272727,0.0951712380283809,0.0,0.3614972938614371,0.5212513496948173,20.0,0.6875,1.0,0.4318181818181818,0.1618421052631579,0.16666666666666666,0.21524663677130046,1.0,0.13636363636363635,0.3129130772559201,0.22209283709526062,0.1123276799917221,
11,99477,18,64,0.05237521231174469,0.036374494433403015,0.010336970910429955,0.8482489436864853,0.3925760610239656,0.3333333333333333,0.21180555555555558,0.0,0.33632033593007093,0.6929049858341484,46.0,0.28125,1.0,0.3888888888888889,0.09342403628117914,0.16666666666666666,0.5161290322580645,0.8000000000000002,0.4444444444444444,0.30297580187989176,0.0708804801106453,0.0004611111362464726,
12,9947798,32,64,0.0720316544175148,0.049391090869903564,0.013382057659327984,0.6995644066482782,0.3094179420402936,0.40625,0.13095238095238096,0.0,0.31406145878603503,0.6035619036604961,32.0,0.5,1.0,0.375,0.12933507170795305,0.0,0.3472222222222222,0.75,0.21875,0.27239479211936835,0.1545884609222412,0.0009148437529802322,
13,99478506,51,64,0.10433997958898544,0.0675123780965805,0.01603882573544979,0.4247138856672773,0.06530958116084662,0.19607843137254902,0.08888888888888889,0.0,0.31561053019692725,0.43671288191771307,13.0,0.796875,1.0,0.3137254901960784,0.09696969696969698,0.07407407407407407,0.18571428571428572,1.0,0.0784313725490196,0.29842750420875425,0.2875368595123291,0.15176862478256226,
14,99479370,39,1,0.08440564572811127,0.04530422389507294,0.010906296782195568,0.0010379476424975272,1.0578490089184737e-05,0.2564102564102564,0.07239819004524888,0.0,0.004571431918213004,0.08153246935839074,38.0,0.02564102564102566,0.01450556144118309,0.0,0.0,0.0,0.0,0.0,0.0,0.006410256410256415,0.9231039881706238,0.608784556388855,
15,9947972,35,64,0.0655980110168457,0.04428534954786301,0.011932773515582085,0.7366331670965467,0.44088560926827264,0.42857142857142855,0.17133520074696548,0.0,0.3756979725575676,0.6100414374044963,29.0,0.546875,1.0,0.42857142857142855,0.12636932707355242,0.2,0.40625,0.8695652173913043,0.34285714285714286,0.3441801154147105,0.1388281285762787,0.15520574152469635,
16,99480871,50,64,0.11847976595163345,0.07298952341079712,0.01729259081184864,0.46321586310863494,0.14759005463673228,0.28,0.12663398692810457,0.0,0.46601093040237773,0.43520927013772903,14.0,0.78125,1.0,0.5,0.2907014157014157,0.4210526315789474,0.2626262626262626,0.6666666666666666,0.08,0.42958250137526455,0.3395768702030182,0.0886639952659607,
17,99481111,38,64,0.10261642932891846,0.0639786645770073,0.0157772246748209,0.5621071740200645,0.2295929084063081,0.2894736842105263,0.10833333333333334,0.0,0.4104698269757341,0.5347554536013122,26.0,0.59375,1.0,0.5,0.1949579831932773,0.26666666666666666,0.33707865168539325,0.8333333333333333,0.18421052631578946,0.3587399580618764,0.2373102903366089,0.06435526907444,
18,9948180,33,64,0.07074039429426193,0.049202702939510345,0.012598371133208275,0.6270836194356283,0.2428294168073113,0.30303030303030304,0.12063492063492064,0.0,0.3114919201253818,0.624819048609795,31.0,0.515625,1.0,0.2727272727272727,0.09476923076923076,0.0588235294117647,0.44094488188976383,0.8571428571428571,0.24242424242424243,0.3139555106976164,0.13373741507530212,0.0002842975372914225,
19,99482099,42,1,0.0882711336016655,0.048520855605602264,0.011461369693279266,0.0013700595923832484,1.677323653092615e-05,0.19047619047619047,0.0963963963963964,0.0,0.005878866676773347,0.16733266948944048,41.0,0.023809523809523836,0.04614876210689545,0.0,0.0,0.0,0.0,0.0,0.0,0.005952380952380959,0.7535293698310852,0.18677860498428345,
20,99482100,41,64,0.0967930257320404,0.06111206114292145,0.015502063557505608,0.6399996716801714,0.31850373997457315,0.34146341463414637,0.11842105263157895,0.0,0.35611146975371233,0.5513094224901589,23.0,0.640625,1.0,0.43902439024390244,0.1722639933166249,0.125,0.23529411764705888,0.6666666666666666,0.14634146341463414,0.3019619898397956,0.2023676484823227,0.057666026055812836,
21,99482108,39,64,0.09296675026416779,0.05998193472623825,0.01576281525194645,0.6569852775488144,0.17981022777708086,0.2564102564102564,0.09424603174603176,0.0,0.3451895020680203,0.6131286013296413,25.0,0.609375,1.0,0.4358974358974359,0.11642857142857144,0.0,0.35761589403973515,0.8571428571428571,0.23076923076923078,0.3007950271996216,0.15451382100582123,0.0616103857755661,
22,9948662,27,64,0.060498207807540894,0.04203661531209946,0.011305651627480984,0.7579565434544174,0.3346486520608237,0.3333333333333333,0.2343891402714932,0.0,0.300830782542251,0.6104587225820126,37.0,0.421875,1.0,0.2962962962962963,0.11902777777777777,0.08,0.3883495145631068,1.0,0.2222222222222222,0.28119663565264297,0.10710707306861877,0.13659287989139557,
23,9948766,40,64,0.1050434410572052,0.06428642570972443,0.015671659260988235,0.5506775587797165,0.12628364061620126,0.2,0.07827380952380952,0.0,0.39269629156010233,0.4599785373003586,24.0,0.625,1.0,0.45,0.17967391304347827,0.23529411764705882,0.3260869565217391,1.0,0.125,0.35337404092071606,0.2685462534427643,0.2519412636756897,
