dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
13,99478506,51,64,0.37734299898147583,0.383378803730011,0.45217394828796387,0.5722123688342524,0.23205923902637818,0.0196078431372549,0.010582010582010581,0.0,0.2716606502373314,0.5743745219802264,13.0,0.796875,0.5770073109306395,0.09803921568627451,0.04273504273504274,0.1481481481481481,0.34,0.6153846153846153,0.2549019607843137,0.3563953881766382,0.11951550096273422,0.15176862478256226,
14,99479370,39,64,0.4010387063026428,0.39838799834251404,0.45757049322128296,0.6058572354989175,0.2546569040188423,0.1794871794871795,0.08669108669108669,0.0,0.27786044128108106,0.5827062905861515,25.0,0.609375,0.5309221721254289,0.10256410256410256,0.03877551020408163,0.1851851851851852,0.49367088607594933,0.7499999999999999,0.2564102564102564,0.3699206992044356,0.08217587321996689,0.31018346548080444,
15,9947972,35,54,0.3651953637599945,0.3773202896118164,0.451383113861084,0.6305946818419865,0.28271632790565493,0.11428571428571428,0.075,0.0,0.3403206578915419,0.6745049745941188,19.0,0.6481481481481481,0.5843336924358651,0.22857142857142856,0.09803921568627451,0.14285714285714285,0.5785123966942148,0.896551724137931,0.45714285714285713,0.41269564758869565,0.05954795330762863,0.15520572662353516,
16,99480871,50,64,0.391962468624115,0.39292943477630615,0.45341095328330994,0.6139376240968705,0.2696078798174858,0.14,0.0606060606060606,0.0,0.3429726083973892,0.5793504590344076,14.0,0.78125,0.6141113610938191,0.22,0.10353535353535354,0.1923076923076923,0.45263157894736844,0.8,0.2,0.4129021618001881,0.16264204680919647,0.0886639952659607,
17,99481111,38,63,0.381135493516922,0.3862066864967346,0.4539475440979004,0.5980661550634786,0.26022148838168696,0.10526315789473684,0.05442176870748299,0.0,0.29132804605128937,0.6178872755922841,25.0,0.6031746031746033,0.5569657508342986,0.10526315789473684,0.03809523809523809,0.3103448275862069,0.4625850340136054,1.0,0.23684210526315788,0.3823864258347017,0.09258464723825455,0.06435526907444,
18,9948180,33,64,0.35934948921203613,0.3740892708301544,0.4509638845920563,0.6503981676968661,0.2899538892688173,0.15151515151515152,0.07168831168831169,0.0,0.28355128760694226,0.669022638804002,31.0,0.515625,0.5951148974709213,0.12121212121212122,0.07703081232492998,0.11320754716981132,0.5688073394495412,0.6956521739130435,0.48484848484848486,0.3660364907062877,0.06574166566133499,0.0002842975372914225,
19,99482099,42,64,0.40138083696365356,0.3994448781013489,0.45608264207839966,0.5743303476344972,0.23636163700194585,0.11904761904761904,0.06430606430606431,0.0,0.27433666747389324,0.5505117646910782,22.0,0.65625,0.5456099556759,0.11904761904761904,0.06273620559334846,0.15873015873015872,0.4125,0.7499999999999999,0.21428571428571427,0.3527307728647014,0.1367390751838684,0.17693400382995605,
20,99482100,41,57,0.3841874599456787,0.389718234539032,0.4528988003730774,0.6038083332340892,0.2485542399127309,0.07317073170731707,0.043560606060606064,0.0,0.34251609269601846,0.5829221501069001,16.0,0.7192982456140351,0.6175839456549862,0.24390243902439024,0.11873840445269017,0.24,0.4150943396226415,0.6666666666666666,0.17073170731707318,0.3968552611619713,0.15720318257808685,0.057666029781103134,
21,99482108,39,49,0.38102975487709045,0.3851023316383362,0.4524919092655182,0.6066750142818842,0.24944378703068465,0.02564102564102564,0.012422360248447206,0.0,0.30015791950932424,0.5783852298831592,10.0,0.7959183673469388,0.6314696304652155,0.07692307692307693,0.027649769585253454,0.23255813953488372,0.4477611940298507,0.0,0.07692307692307693,0.4077375915712098,0.14916065335273743,0.061610378324985504,
22,9948662,27,54,0.35221728682518005,0.36894214153289795,0.4511885643005371,0.5977507023899643,0.23991531244030706,0.14814814814814814,0.09586056644880174,0.0,0.28261789523160824,0.675729657760846,27.0,0.5,0.5116927496812962,0.14814814814814814,0.06851851851851852,0.08163265306122448,0.5952380952380951,0.7058823529411765,0.6296296296296297,0.36336356764928185,0.03404434025287628,0.13659287989139557,
